July 9 05,2005,7,9
1988 may 02,1988,5,2
Julliet 05 1959,1959,7,05
MAY 2,00,5,2
January 16 1906,1906,1,16
9/8a,2010,9,12
10.56,1956,10,00
1955.11,1955,11,00
03.18.78,1978,3,18
10/82,1982,10,00
06 18 95,1995,6,18
Jun  24,00,6,24
05/6/20,1920,5,6
68 09,1968,09,00
1990,1990,00,00
6-47,1947,6,00
Dec 01,00,12,01
4-8a-65,2010,9,12
28-06,00,28,06
38 6 7,1938,6,7
6-75,1975,6,00
86-03-28,1986,3,28
1976,1976,00,00
86.07,1986,07,00
1920 14 MAY,1920,5,14
09/11/76,1976,9,11
1952,1952,00,00
54 7,1954,7,00
02-1926,1926,02,00
12-8a,2010,9,12
1.93,1993,1,00
48-12,1948,12,00
05-11,00,05,11
8.16,00,8,16
35.02.10,1935,2,10
6/33,1933,6,00
79.30.03,1979,3,30
Sep 14 1975,1975,9,14
04-1938,1938,04,00
54 Julliet 13,1954,7,13
1903,2003,00,00
25 1,00,25,1
25 October,00,10,00
MAR40,00,3,00
4.24.21,1921,4,24
197,1900,1,1
73/12/24,1973,12,24
2009 06 23,2009,6,23
84.9.23,1984,9,23
FEBRUARY 19,00,2,19
Sep30,00,9,00
88 Mars,1988,3,00
34/10/17,1934,10,17
1930.21.05,1930,5,21
1996,1996,00,00
07-1o,2018,9,12
1984 Mars,1984,3,00
17/15/09,2015,9,17
may 29 1939,1939,5,29
48/30/06,1948,6,30
01/33,1933,01,00
Mars 199X,00,1,00
1929 Julliet 26,1929,7,26
21/10/7,00,21,7
11.24.37,1937,11,24
1918,2018,00,00
1980,1980,00,00
1/19/2004,2004,1,19
MAY 27 92,1992,5,27
4.12,00,4,12
52 Jul 1,1952,7,1
04.5,00,04,5
AUGUST 12,00,8,12
07.1991,1991,07,00
July 16,00,7,16
dic 53,1953,12,00
   apr. 62,1962,4,00
37-1,1937,1,00
04 2006,2006,04,00
ABRIL 15,00,4,15
64 23 January,1964,1,23
3/25,00,3,25
1947-06-17,1947,6,17
1959-3,1959,3,00
24.14.7,2014,7,24
10-1932,1932,10,00
January 04,00,1,04
05/10,00,05,10
1993,1993,00,00
2/1985,1985,2,00
2 07,00,2,07
50 21 Dec,1950,12,21
5 12 23,1923,5,12
31 26 DÉCEMBRE,1926,12,31
April 8a 23,00,9,23
1927,1927,00,00
1958Jun07,1958,6,7
49 may,1949,5,00
04/11,00,04,11
28.11,00,28,11
1921 2,1921,2,00
1943,1943,00,00
69    apr.,1969,4,00
1991/1/09,1991,00,00
April 12,00,4,12
77-10-22,1977,10,22
1986,1986,00,00
1914-7,1914,7,00
1924,1924,00,00
1926,1926,00,00
82.04,1982,04,00
FEBRUARY 26 11,2011,2,26
86/11,1986,11,00
04.97,1997,04,00
194,1900,1,1
42 07 07,1942,7,7
199-5-26,1999,5,26
October 4,00,10,4
Julliet 25,00,7,25
97 15 june,1997,6,15
Nov.27,00,11,27
1 October,00,10,00
24-6-04,2004,6,24
1992.20.2,1992,2,20
11 77,1977,11,00
08 11,00,08,11
11 1 75,1975,11,1
1950 07 Feb,1950,2,7
28/10,00,28,10
06 15 FEBRUARY,00,2,15
68-03-10,1968,3,10
78-06-18,1978,6,18
may 13,00,5,13
FEBUARY         25,00,2,25
20.02.21,1921,2,20
dic1953,00,12,00
05 25 October,00,10,25
Nov.            23,00,11,23
03-30-34,1934,3,30
16 19 Feb,1919,2,16
94-1-04,1994,1,4
1952 09 AUGUST,1952,8,9
24-29-07,1929,7,24
9 oct,00,10,00
08-9-38,1938,8,9
Sep 1933,1933,9,00
6-77,1977,6,00
1902,2002,00,00
24-24-07,1924,7,24
8.5,00,8,5
04 02 2013,2013,4,2
1982,1982,00,00
30 december 10,2010,12,30
03.14,00,03,14
98/05/21,1998,5,21
1962,1962,00,00
1981,1981,00,00
03-16,00,03,16
6 march,00,3,00
1941/8a/11,2010,9,12
83-5-13,1983,5,13
4.20.2014,2014,4,20
09/4/56,1956,9,4
05-2002,2002,05,00
1954,1954,00,00
1979,1979,00,00
09-14-24,1924,9,14
FEBRUARY 13,00,2,13
Jun  16,00,6,16
1916-4-9,1916,4,9
97 07,1997,07,00
1950    apr. 20,1950,4,20
Julliet 77,1977,7,00
12 1949,1949,12,00
1/20,00,1,20
5-13-15,2015,5,13
   apr. 14,00,4,14
36/7/7,1936,7,7
7.25.1990,1990,7,25
march 26,00,3,26
92/1,1992,1,00
11-18-72,1972,11,18
74 dic,1974,12,00
Mars 9 89,1989,3,9
12/3,00,12,3
1932,1932,00,00
1937,1937,00,00
07.16.18,2018,7,16
Août 17 1967,1967,8,17
1987,1987,00,00
10/2004,2004,10,00
11/55,1955,11,00
9/29/1908,1908,9,29
1993.31.10,1993,10,31
2/06,00,2,06
89 9 5,1989,9,5
44 december,1944,12,00
33may,00,5,00
47 NOVEMBER 05,1947,11,5
FEBUARY         29,00,2,29
5.23,00,5,23
11/13,00,11,13
12-16,00,12,16
1982.10,1982,10,00
   apr. 63,1963,4,00
80/8/11,1980,8,11
09 04 9,00,09,9
12/07,00,12,07
5-22,00,5,22
09.9.78,1978,9,9
78-8-30,1978,8,30
1933 11,1933,11,00
81.1.10,1981,1,10
09-18,00,09,18
56 25 8,1956,8,25
03.1,00,03,1
2002 march,2002,3,00
december 3 42,1942,12,3
3 9 30,1930,3,9
66 MAI 18,1966,5,18
12.81,1981,12,00
11.10,00,11,10
1919 Août 4,1919,8,4
1967 Nov.            8,1967,11,8
24/11/19,1919,11,24
10/12/8,00,10,8
28-02,00,28,02
oct 07,00,10,07
43 6 12,1943,6,12
2-12,00,2,12
4/6,00,4,6
06.13,00,06,13
1996/29/9,1996,9,29
1918.01.12,1918,1,12
October 20 65,1965,10,20
1/14/1986,1986,1,14
1998 28 Julliet,1998,7,00
02.7,00,02,7
september03,00,9,00
3 14 00,2000,3,14
99-11,1999,11,00
1943,1943,00,00
78    apr.,1978,4,00
june 06 37,1937,6,6
1908/05,1908,05,00
1982/11/23,1982,11,23
03-31-03,2003,3,31
67 AUGUST,1967,8,00
1982,1982,00,00
12 7 90,1990,12,7
4 17 30,1930,4,17
July 26 51,1951,7,26
1963,1963,00,00
1979Août14,1979,8,14
1908 june,1908,6,00
1986december,00,12,00
09-1907,1907,09,00
1999,1999,00,00
April 8a 1930,1930,9,00
06.3,00,06,3
05.1o,2018,9,12
2 15 1900,1900,2,15
1907Jan.,00,1,00
1977,1977,00,00
1941,1941,00,00
25 20 Jul,1920,7,25
1927 12 25,1927,12,25
49 06 8a,2010,9,12
oct 56,1956,10,00
2005January22,2005,1,22
6.15,00,6,15
0/27/05,00,0,05
23.28.04,1928,4,23
05/16/1979,1979,5,16
10/23,00,10,23
3 1o,2018,9,12
88.09.09,1988,9,9
1952Jan.05,1952,1,5
2014-08-14,2014,8,14
06-27,00,06,27
   apr. 04 95,1995,4,4
06/13/2006,2006,6,13
1988,1988,00,00
65 3 12,1965,3,12
08 1o 97,1997,8,1
1954-24-04,1954,4,24
1965,1965,00,00
October 15 15,2015,10,15
1960,1960,00,00
1956,1956,00,00
1960,1960,00,00
1944,1944,00,00
9.1935,1935,9,00
1966,1966,00,00
1978,1978,00,00
1953,1953,00,00
01 38,1938,01,00
98/04/06,1998,4,6
2009 3 DÉCEMBRE,2009,12,3
99 27 04,1999,4,27
1915 19 AUGUST,1915,8,19
70 5 2,1970,5,2
11 January,00,1,00
08.27,00,08,27
72/11,1972,11,00
Aug. 30 1,00,8,1
10/23/97,1997,10,23
2.1985,1985,2,00
Dec 10 3,00,12,3
1906,2006,00,00
1 Julliet,00,7,00
Jul 10,00,7,10
02/1940,1940,02,00
April 27 1918,1918,4,27
10-1-1975,1975,10,1
1930,1930,00,00
80 may 20,1980,5,20
38/15/09,1938,9,15
13 dic 8,00,12,8
01.33,1933,01,00
1947,1947,00,00
12-3-5,00,12,5
08.77,1977,08,00
dic 13,00,12,13
1968-13-08,1968,8,13
89/11/02,1989,11,2
34 12 Aug.,1934,8,12
1973,1973,00,00
1914,2014,00,00
1925,1925,00,00
5.4,00,5,4
11-1994,1994,11,00
75 Nov.            29,1975,11,29
03.06,00,03,06
77 October,1977,10,00
78/2/12,1978,2,12
